id,name,date,type,yt_id
,【18/05/03(木)20:00~】新○○○お披露目と人狼がんばるぞ放送【ときのそら生放送】,2018-05-03,3,N3D9zWF_FjE
,Dream!,2019-10-06,2,NULL
,hololive 1st fes. Nonstop Story,2020-01-24,0,NULL
,hololive 2nd fes. Beyond the Stage,2020-12-22,0,NULL
,Minato Aqua Anniversary Live 2020 AQUA IRO SUPER DREAM,2020-08-21,2,NULL
,"hololive IDOL PROJECT 1st Live. Bloom,",2021-02-17,1,NULL
,hololive 1st Generation 3rd Anniversary LIVE from 1st,2021-05-21,1,NULL
,"Tsunomaki Watame 1st Live ""Watame Night Fever!! in Zepp Tokyo""",2021-10-12,2,P_ptI5iH7Vg
,HOLOLIVE FANTASY 1st LIVE FAN FUN ISLAND,2021-11-27,1,IPeU2_BOwA8
,"hololive VIRTUAL LIVE series in VARK ""Cinderella switch"" Vol.2",2020-10-24,4,NULL
,"hololive VIRTUAL LIVE series in VARK ""Cinderella switch"" Vol.1",2020-09-27,4,NULL
,"hololive VIRTUAL LIVE series in VARK ""Cinderella switch"" Vol.3",2020-11-28,4,NULL
,"hololive VIRTUAL LIVE series in VARK ""Cinderella switch"" Vol.4",2021-03-27,4,NULL
,"hololive VIRTUAL LIVE series in VARK ""Cinderella switch"" Vol.5",2021-04-24,4,NULL
,"hololive VIRTUAL LIVE series in VARK ""Cinderella switch"" Vol.6",2021-05-29,4,NULL
,"hololive VIRTUAL LIVE series in VARK ""Cinderella switch"" - new act- Vol.5",2021-11-27,4,BULiR7q7oYY
,"hololive VIRTUAL LIVE series in VARK ""Cinderella switch"" - new act- Vol.4",2021-10-30,4,BULiR7q7oYY
,"hololive VIRTUAL LIVE series in VARK ""Cinderella switch"" - new act- Vol.3",2021-09-25,4,BULiR7q7oYY
,"hololive VIRTUAL LIVE series in VARK ""Cinderella switch"" - new act- Vol.2",2021-08-28,4,BULiR7q7oYY
,"hololive VIRTUAL LIVE series in VARK ""Cinderella switch"" - new act- Vol.1",2021-07-31,4,BULiR7q7oYY
,"hololive VIRTUAL LIVE series in VARK ""Cinderella switch"" Vol.7",2021-06-26,4,NULL
,-VIRTUAL SUMMER FEST-,2019-08-25,4,6VspVIepkmQ
,STELLAR into the GALAXY,2021-10-21,2,LtqzI9y5yII
,【3DLIVE】SPACE for Virtual GHOST【#星街すいせい3周年LIVE】,2021-04-13,3,Ajwv4ANSSg0
,バックステージ映像ダイジェスト【#星街すいせい50万人記念ライブ】,2020-11-26,3,GczSWwXLr9o
,【3DLIVE】STARt IN THE SCREEEN!【#星街すいせい50万人記念ライブ】,2020-10-19,3,JNmmnB4bP0M
,【SMOL CALLI CONCERT】Jamming Out in 3D! #holomyth,2021-12-10,4,iLg8GmSv6_o
,【3DLIVE】夜空メル Birthday LIVE🌟Happy Halloween【#夜空メル誕生祭2021】,2021-10-31,3,FNLt7VDA-mk
,【#夜空メル３周年】３Dでいっぱいの愛を♡3rd anniversary Live🌟【ホロライブ】,2021-05-13,3,W0szWI6e87A
,【#白上フブキ生誕LIVE】Congrats Birthday FOX【ホロライブ/白上フブキ】,2021-10-05,3,7Vs-5Rwu8ks
,白上フブキ「Congratulations!! FUBUKI BIRTHDAY PARTY.2019」,2019-11-29,2,QS9M_pIPiNk
,Congratulations!! FUBUKI BIRTHDAY PARTY.2019,2019-11-16,2,NULL
,Congratulation!! FUBUKI BIRTHDAY PARTY 2019【ダイジェスト】,2020-03-20,2,HkhJQffYog4
,「#未来茶会 × #IMAGINATION PARTY」with ぶいおん!! MIX SP　GUEST: #樋口楓 & #ときのそら & #ロボ子さん　MC: #KMNZ,2019-05-19,4,xpBwUwyY414
,『#アステルレダ3D』未来へ、One Two Shine 🌌 / ホロスターズ,2021-12-07,3,qNRR8cyGMaY
,Bilibili Marco Link - Visual Release 2019,2019-07-19,1,NULL
,Bilibili Marco Link - Visual Release 2020,2020-12-19,1,NULL
,【#アキロゼ生誕祭2021 #AkiRoseBirthday2021】初アイドル衣装で3D生誕祭だ～！【ホロライブ/アキロゼ】,2021-03-17,3,1Ts7X3vtYgQ
,【生誕祭】百鬼あやめ 4th Birth Dayライブ!!!!!!!!!!! 　＃百鬼あやめ4th生誕祭,2021-12-13,3,bn7OaRnM9-A
,【#岸堂天真2周年】今宵は食べて飲んでVRして宴だ！3年目はなにをしようか！【岸堂天真/ホロスターズ】,2021-12-14,3,iQgz48I9A0g
,【#はあちゃま3D】はあちゃま、動きます。,2021-01-03,3,DsV-EJmbvr8
,【#はあちゃま生誕祭2021】🤪👆💫お誕生日3DLIVE💫👆🤪【はあちゃま/ホロライブ】,2021-11-18,3,88APiRAcQcc
,[#さくらみこ復帰LIVE]I'm back Miko 2nd Anniversary Live！🌸[hololive/Sakura Miko],2020-10-21,3,_SWjDWUBDio
,【 3DLIVE 】3rd Anniversary LIVE Shine more!!! 【#さくらみこ３周年LIVE】,2021-08-01,3,cBQ2UD4LusU
,【#さくらみこ新3Dお披露目】すーぱー超絶エリートなみこをごらんあれ！【ホロライブ/さくらみこ】,2020-12-23,3,T7AkrTQwSjs
,VILLS,2020-07-19,0,NULL
,VILLS Vol.2,2021-03-21,0,m24NVAgZFZ0
,VILLS vol.3,2021-12-19,0,NULL
,"HOLOSTARS 1st ACT ”JOURNEY to FIND STARS!!""",2021-12-26,0,NULL
,VTuber Fes Japan 2021,2021-01-31,0,NqjBHL02pkc
,VTuber Fes Japan 2019,2019-04-28,0,NULL
,niconico Cho Party 2018,2018-11-03,0,aSw-xKUobbA
,メルキス3周年LIVE♡Xmas Party,2021-12-19,3,4gXhDckOINg
,あくあ色すーぱーみらくる☆どり,2021-05-09,3,gf7RSwmp8dM
,【#湊あくあ3周年記念 】あくあ色 3rd Anniversary Live【湊あくあ/ホロライブ】,2021-08-09,3,CtOkB0YQljY
,【#あくシオ3Dライブ】おうたのはっぴょうかい！【ホロライブ/湊あくあ・紫咲シオン】,2021-09-05,3,_xL58zG9k5k
,【#湊あくあ重大発表】3DLIVE！！重大発表！！【湊あくあ/ホロライブ】,2021-11-08,3,0kGVDYAKcGc
,桃鈴ねね x 星街すいせい x 常闇トワ　Christmas Live【 #ねねすいトワクリスマスライブ 】,2021-12-21,3,VVQQcI6r3NU
,【#紫咲シオン生誕祭2021】いっぱいありがとう！！Birthday Live2021【ホロライブ/紫咲シオン】,2021-12-08,3,oLZxkEJAm8U
,紫咲シオン3rd Anniversary LIVE【#紫咲シオン3周年記念】,2021-08-17,3,dlqbZK1UWx0
,祝３周年記念ライブ！！！宵の余、良い！！！！！！！🌸🌙　#百鬼あやめ３周年,2021-10-02,3,N0mQHlL7Qo4
,【#ちょこ先生誕2021】ちょこ先生の3Dお誕生日会【ホロライブ/癒月ちょこ】,2021-02-14,3,p9k8A3XzH68
,【#大空スバル３周年】おまたせ！今日はたのしんでってな～！！！！：SUBARU 3rd anniversary Live【ホロライブ】,2021-10-07,3,mhvHZpK-9Ss
,夏の3Dコラボライブ GUEST：水科葵【ライブ新情報もある！！】,2021-08-22,3,1lqiDPRHgWE
,【#AZKi3周年】3rd Anniversary Live Over Light【新曲初公開も！？】,2021-11-14,3,Q2_fe1wtGn0
,Stand at the crossroads,2021-04-11,2,xptulIh3CEg
,AZKi 6th LiVE Re:Creating world,2020-12-06,2,NULL
,SorAZ Special Live 刹那的クロニクル,2020-09-26,1,NULL
,R.I.P AZHOOD,2020-07-25,2,NULL
,LAST V STANDiNG vol.2,2020-03-22,1,NULL
,REPEAT THiS LiFE WiTH U,2019-12-29,2,NULL
,LAST V STANDiNG vol.1,2019-09-22,2,NULL
,A GOODDAY TO DiE,2019-07-27,2,NULL
,The Shitest Start,2019-05-19,2,NULL
,VirtuaREAL.00,2019-06-26,0,AkA5Ql8O59U
,VirtuaREAL.01,2020-01-25,0,hwa2ny4yKkc
,VirtuaREAL.02,2020-08-16,0,c-pguH_0xB4
,Niconico Chokaigi 2019,2019-04-29,0,-KMtOsx76IU
,REALITY FESTIVAL 2 >DIVE,2019-04-14,1,Wzom_Khk-8s
,REALITY FESTIVAL3,2019-08-12,1,WcffxYZD0z8
,TUBEOUT! Vol.1,2018-12-17,1,lKSaOmkKUuo
,TUBEOUT! SESSIONS,2019-03-23,1,NULL
,TUBEOUT! Vol.10,2021-07-31,1,RUdi8QJ5mMo
,TUBEOUT! Vol.9,2021-06-26,1,fuq5iLg_n7o
,TUBEOUT! Vol.5,2021-02-27,1,v5L6mvHAWpY
,TUBEOUT! Vol.4,2021-01-23,1,0xpKzxKW380
,TUBEOUT! Vol.3,2020-03-07,1,QmJnOhv8VUA
,V-Carnival,2021-04-04,0,fBAe-UVRs6A
,Virtual New Year's Eve 2018,2018-12-31,0,NULL
,NHK Virtual Nodo Jiman,2019-01-02,0,NULL
,VirtuaREAL.00 -Reverse-,2019-10-26,0,ilAyfxBlCF0
,VirtuaREAL MIX.01,2020-05-24,0,k94FNEaOwQc
,TUBEOUT!FES -2021 SUMMER-,2021-08-29,0,Mk72mGbGEFQ
,Virtual Music Fes,2019-04-10,0,NULL
,【３D】ライブも企画も！誕生日祭だーー！！！！【 #大神ミオ誕生日 】,2021-08-20,3,ChMwx4yeI3g
,大神ミオ２周年記念３Dライブ【2nd anniversary】,2020-12-07,3,mmUVwNut2-Y
,【#大神ミオ３D】大神ミオ、３Dお披露目放送だよ～！！！！！【ついに来た！】,2019-06-16,3,T-4B_hiiRlQ
,【#夕刻ロベル2周年】お祝い3D配信や！！！！！！【ホロスターズ/夕刻ロベル】,2021-12-24,3,3yako7BGSO4
,【3DLIVE】🌧今宵はきっと雨が降る🌧【#おかゆの梅雨ライブ】,2021-06-19,3,XvrnWqU6MIs
,【#おかゆの生誕祭2021】お誕生日なので3D歌ライブだ～～🎶🎶【ホロライブ】,2021-02-22,3,RxytWppYJq8
,【#戌神ころね生誕祭2021】久しぶりの３Ｄライブ！？今年もいっぱいおめでとうをありがとう！【戌神ころね/ホロライブ】,2021-10-01,3,2l3i7MulCgs
,【#おかころ2周年3Dライブ】デビューして2年になりました。みんなにありがとう！【戌神ころね/猫又おかゆ】,2021-04-01,3,v8tFy6_6R84
,【#戌神ころね3D】戌神ころね3Dお披露目生放送【3D生放送】,2019-09-14,3,I9m2C_Vx1j4
,【#花咲みやび3D】いつか花咲く、その日まで【花咲みやび/ホロスターズ】,2021-10-09,3,P14PMe0GUzQ
,【#兎田ぺこら生誕祭​】3DでHappyBirthDay！！！みんなでお祝いするぺこ！【ホロライブ/兎田ぺこら】,2021-01-12,3,vpsdqgEi_JM
,【#兎田ぺこら3D】兎田ぺこら3Dお披露目会ぺこ！【ホロライブ/兎田ぺこら】,2019-12-14,3,euPeRrN2Tco
,【 #潤羽るしあ2周年記念 】祝！３D LIVE ！！【潤羽るしあ/ホロライブ】,2021-07-18,3,ZE8gTiKBjA8
,【#潤羽るしあ生誕祭】３Dでお誕生日会だよおおお！！！【ホロライブ】,2021-01-22,3,ekXsx1n-vz4
,【#潤羽るしあ3D】潤羽るしあ3Dお披露目です！【ホロライブ】,2019-11-30,3,aBGaFFIP9bs
,【＃不知火フレア2周年記念ライブ】３D LIVE！みんなで沢山盛り上がろう！【不知火フレア/ホロライブ】,2021-08-07,3,ZMlPAsIJslA
,【＃不知火フレア生誕祭 】3D Singing Live！誕生日だし一緒に盛り上がろう！ 【ホロライブ/不知火フレア】,2021-04-02,3,_rJhAn6ZPuU
,【#不知火フレア3D】不知火フレア3Dお披露目会はエンディングまで泣くんじゃない！【ホロライブ/不知火フレア】,2020-06-13,3,N5G5FlyPt9s
,【#白銀ノエル2周年記念live】3Dライブ！いつもありがとう🍀全力でアイドルしまっする💪✨(重大告知あり...？！)【白銀ノエル/ホロライブ】,2021-09-26,3,xa7J8CE1Zms
,【3D LIVE】100万人記念🎉いっぱい歌って踊って楽しんじゃお🎶【白銀ノエル/ホロライブ】,2021-06-26,3,JEyWbHwLKJE
,【#白銀ノエル1周年】3Dでアイドル衣装あり👀？！みんな1年間ありがとう✨【白銀ノエル/ホロライブ】,2020-08-08,3,Adg4LATEvbI
,【#白銀ノエル3D】白銀ノエル3Dお披露目会はじまりまっするうう！！！【みなさま感謝！！】,2019-11-17,3,Pt4GlDfYwa0
,【冒頭4曲無料公開】HOLOSTARS 1stACT「JOURNEY to FIND STARS!!」Supported By Bushiroad【 #ホロスタ1stACT 】,2021-12-26,1,w_JrkmxdK9M
,【#宝鐘マリン生誕祭2021】3DLIVE/ゲスト大勢！重大告知もりもり！【ホロライブ】,2021-07-30,3,dVlNi7Pby0w
,【#宝鐘マリン100万人記念ライブ / 3DLIVE】Connected Fantasia【ホロライブ】,2021-07-03,3,RY_5mn2EY6s
,【#宝鐘マリン1周年】ゲストと一緒に３Dでドタドタ!!【ホロライブ/宝鐘マリン】,2020-08-11,3,VblQWr0rm7Y
,【#マリころ3D】【ホロライブ/宝鐘マリン・戌神ころね】,2020-07-06,3,TklqX5XUomo
,【#宝鐘マリン3D】💘若さと色気溢れるムーブに一同騒然💘【ホロライブ/宝鐘マリン】,2020-02-15,3,5Nr41M9zk2c
,【 #アルランディス3D 】アルランディス3Dお披露目会場はこちらです【アルランディス/ホロスターズ】,2021-08-29,3,sG70guLZNEk
,【夜霧Yogiri】3D化的奶猫登上了舞台【毕业回】,2020-12-21,3,NULL
,"【#天音かなた2周年LIVE】3D LIVE 「リベンジ」/ Amane Kanata 3DLIVE ""Revenge""【天音かなた/ホロライブ】",2021-12-27,3,Dji-ehIz5_k
,【 #角巻わため2周年ライブ 】角巻わため 2nd Anniversary Live Fever!!🌟【ホロライブ４期生】,2021-12-29,3,TV8rLERH6yU
,【3DLIVE】この叫びを届けるためにｰScreamｰ【#常闇トワ2周年記念】,2022-01-03,3,YsvEWEEUWa8
,【 #姫森ルーナ2周年記念LIVE 】みんなへ感謝の気持ち届けたいのら！✨2nd Anniversary 3D LIVE !!💜【ホロライブ】,2022-01-04,3,3UVUtXHOtV4
,【＃兎田ぺこら生誕祭】お誕生日記念🎉3rd Birthday LIVE【ホロライブ】,2022-01-12,3,OyOl61s3X2k
,【 #荒咬オウガバースデー2022 】荒咬オウガ生誕記念ドラマ「魔人が生まれた日」【荒咬オウガ/ホロスターズ】,2022-01-15,3,5LtiHGsrxrs
,【#しぐれうい3D】やっと目が合ったね,2022-01-17,3,NmP_EJdcE6E
,Theatrical Cover Live『Role:Play』,2022-01-22,2,NULL
,【#潤羽るしあ生誕祭】お誕生日！祝３D LIVE！！with３期生☆【潤羽るしあ/ホロライブ】,2022-01-22,3,cMdtt0otwIA
,[100 Songs] hololive Medley mix by IOSYS [hololive Original Songs],2022-01-26,5,BTeMv4jydEw
,MINATO AQUA One-Man Live 2022 “Aqua Iro in Wonder☆Land♪”,2022-01-28,1,8D6bGLucsYM
,【#尾丸ポルカ生誕祭】ポルカプロデュース!最強アイドルグループ3DLIVE!,2022-01-30,3,ywvR52V7HiI
,【#律可10万人記念ライブ】Over the silver dawn【律可/ホロスターズ】,2021-03-25,3,gEYadEYf3-o
,【1周年記念枠】1st Anniversary 3D Live！いつもありがとう！【律可/ホロスターズ】#律可1周年,2020-10-20,3,tz25EUgSaJ4
,【#まつりっか3D】ピアノ伴奏でお送りするライブ！【夏色まつり/律可】,2020-07-08,3,uM3BGzCgyFA
,【#律可3D】３Dお披露目ライブ！一緒に盛り上がろう！！【ホロスターズ/律可】,2020-06-21,3,OJWVFa-2ggY
,【＃癒月ちょこ誕生日LIVE】重大告知あり？！3Dお誕生日ライブ！【ホロライブ/癒月ちょこ】,2022-02-14,3,uHtWZbAu7iE
,【#アキロゼ生誕祭2022】Wonder Shower Musical !!!!【3DLIVE】,2022-02-18,3,TsRo8VuubSk
,SEASIDE AQUA FES,2022-02-19,1,NULL
,【#猫又おかゆ生誕ライブ2022】歌って踊ってみんな！楽しんでって！✨：OKAYU Birthday Live🎉【ホロライブ】,2022-02-22,3,epPYcIwJ5aQ
,【#バカタレ２周年記念LIVE】音楽ライブ♬　BAKATARATION PARTY【ホロライブ/白上フブキ/不知火フレア/角巻わため】,2022-02-24,3,hQB206l932M
,【#影山シエンバースデー2022】誕生日３Dライブ！楽しんでけ～～～～！【影山シエン/ホロスターズ】,2022-02-25,3,WLyYpHLu7sQ
,【 3DLIVE 】ねねが主役！！！！！ #桃鈴ねね誕生日2022【 桃鈴ねね / ホロライブ 】,2022-03-02,3,czfjbNitJ4M
,【＃花咲みやびのお誕生日会2022】Another day's birthday【花咲みやび/ホロスターズ】,2022-03-03,3,Se0jFgMLsus
,【＃ロボ子4周年記念LIVE 】４周年３D IDOL LIVE🎉cuteにcoolに楽しんでIKZ🎉 【3D LIVE】,2022-03-04,3,Lw3sBpkC3Rw
,【 #さくらみこ生誕祭 】BIRTHDAY PARTY 🎂 4th Virtual3DLive !!【ホロライブ/さくらみこ】,2022-03-05,3,Cv_2tjVo-p4
,hololive 3rd fes. Link Your Wish,2022-03-19,0,LgyXzn0k0MA
,【3D LIVE】Selfish of a Rough Stone【#星街すいせい４周年LIVE 】,2022-03-31,2,RDHf9Tmdvpk
,【3D LIVE】Calliope Mori's First 3D Birthday Concert! #calli3DBD,2022-04-04,3,hrcZEjdrkRg
,Mori Calliope 1st Solo Concert,2022-07-21,2,V2ebwqUM8IY
,V-Carnival VOL.2,2022-06-12,0,NULL
,-VR Anime Music Festival 2019-,2019-08-18,0,NULL
,【#律可誕生日2022 】3Dライブ！3rd Birthday！【律可/ホロスターズ】#りつすた,2022-04-15,3,nwHKGKYRfns
,【3DLIVE】バーチャルアイドルが踊ってみた！ #かなたんしか勝たん【天音かなた/ホロライブ】,2021-04-22,3,_pC9JaHyyjQ
,Vtuber Fes Japan 2022,2022-04-30,2,NULL
,【#マリン出航3DLIVE】ゲストとワイワイ！Marine Set Sail!! Concert!!【ホロライブ/宝鐘マリン】,2022-04-27,3,vLGCYbnYhPg
,Pavolia Reine - ROYAL PARTY TIME! Pavolia Reine’s hololive DJ×Karaoke Night (YouTube Music Weekend),2022-05-07,3,Q6ApyF4NUhM
,Kureiji Ollie - Singing Hololive Songs in Indonesian!! 【YouTube Music Weekend】,2022-05-07,3,Uoo9kFmCgLo
,Calliope Mori’s YouTube Music Weekend Spring Concert!,2022-05-08,3,qGtKzdz8c0k
,Ayunda Risu - Night Singing Parade with Risu Ayunda 【YouTube Music Weekend】,2022-05-07,3,Zzi-PUKto5s
,Summer Voyage!!,2022-07-03,1,NULL
,【#ときのそらお披露目誕生日2022】HappyMeowthday!!な3D配信！！,2022-05-15,3,hrpubiRwB-k
,【 #ロボ子爆誕2022 】ボクのBirthday Live へようこそ🎉【ホロライブ/ ロボ子さん】,2022-05-23,3,_WuSd5M7va4
,【 #さくらみこ3D新衣装 】ゲストあり！3D新衣装お披露目LIVE / New outfit LIVE【ホロライブ/さくらみこ】,2022-05-28,3,jYQdvWQ20O0
,【#アキロゼ4周年LIVE】全編歌ライブ！みんなと歌って踊って3D LIVE 「ROSE of the LAMP」【アキ・ローゼンタール/ホロライブ】,2022-06-01,3,mknggf96fuI
,【3D DJ配信】ホロスタ3周年だ！これからもよろしくノリノリで行くよ！【アルランディス/ホロスターズ】,2022-06-03,3,4MaDa2_m7ZI
,【新曲あり！？】hololive IDOL PROJECTユニット初集合LIVE！,2022-06-05,3,FWXAnb08CPg
,【#角巻わため超絶生誕祭2022】角巻わため Special Hyper Birthday 3DLive！🎉【角巻わため/ホロライブ４期生】,2022-06-06,3,Evoexs-ocNM
,【3D】Hope of universe / Astel's birthday Program #アステルコード #アステル誕生祭2022,2022-06-06,3,vvH8WweqFlE
,花咲劇場in3D/ダイブ・トゥ・ワールド【#花咲みやび3周年 /ホロスターズ】,2022-06-08,3,4Q7d41GXE9c
,DoKomi 2022,2022-06-05,1,NULL
,【#不知火フレア生誕祭LIVE】遅れてやってきた私の誕生日LIVE！【不知火フレア/ホロライブ】,2022-06-19,3,H1vf2vF1LmE
,【BIRTHDAY】PARTY TIME! 🌊 #gawrgura,2022-06-21,3,lsFr7NzVVM8
,【#鷹嶺ルイ3D】アーカイブ残るか！？これが私の成長の軌跡🥀【鷹嶺ルイ/ホロライブ】,2022-06-21,3,jYWhdr73i6A
,【3D】3rd Anniversary【#奏手イヅル3周年 /ホロスターズ】,2022-06-22,3,MLFUFPB933M
,【3Dお披露目】刮目せよ！吾輩の力を開放する時ッツ！！#ラプラス・ダークネス3D 【ラプラス・ダークネス/ホロライブ】,2022-06-27,3,V0Zk55CpFEM
,【#ノエルのリリカルLIVE 】新たな団長を見てッ !【白銀ノエル/ホロライブ】,2022-06-25,3,8DQWjvFBma4
,【#SSholoX】世界征服に向けて…【3Dアジトお披露目】,2022-06-30,3,aGp1Q3aH_Bk
,【#博衣こより3D】歌います！踊ります！体を張ります！アイドルです！！！【ホロライブ】,2022-06-16,3,yOZxZy1HcJg
,【#風真いろは3D】全身で動けるようになった用心棒風真いろは、改めて出陣でござる🍃【風真いろは/ホロライブ6期生】,2022-06-09,3,ZQveWRj0u5E
,【#沙花叉クロヱ3D】シャチ出没注意【ホロライブ】,2022-06-13,3,MOekZ-g5qJQ
,xR ARTISTS SUPER FES 2022,2022-07-03,2,bPDiVIe3EN8
,ねねいろ NOODLE らいぶ,2022-06-25,2,NULL
,【3D LIVE】#AZKi生誕祭2022 【ゲスト：ときのそら / 星街すいせい】,2022-07-03,3,y3Ed1eCwuOA
,【#Kiara3DBirbday】DANCING TILL DAWN! 3D Birthday Concert!✨✨,2022-07-07,3,W0lICCjnuDs
,Overture,2022-08-20,1,PzPON3KPHwQ
,【#兎田ぺこら３周年 / 3DLIVE】Chu! Summer Party♪【ホロライブ】,2022-07-17,3,Di8D8BvZZp0
,【3D LIVE】Twinkle Starry Night🌟【＃夜空メル４周年LIVE】,2022-07-18,3,4nLF5YWyaVA
,POISONYA SYNDROME,2022-09-30,3,epVOia1OiAU
,【3Dライブ】重大発表!?何やらゲストも参戦してくれるらしい…⚡【#おかゆ重大発表 / ホロライブ】,2022-07-24,3,LazLAQUMCzI
,【#夏色ReSTART】BIRTHDAY 3DLIVE🎂~今日はまつりが主役~【ホロライブ/夏色まつり】,2022-07-22,3,oFn0ZypcaM8
,【#Kiara3DBirbday】3D Birthday Concert! ✨DIRECTOR'S CUT✨,2022-07-24,3,rHMZxQxnp8Q
,【3D LIVE!!!】3D新衣装お披露目!! ゲストと歌って踊って生誕祭♪♪♪【hololive/宝鐘マリン】,2022-07-30,3,wF_VmniNI2I
,[Fan club special] Special Session LIVE ~ vol2. Kayoko Kusano ~ [#Sora Kayoko],2022-07-19,3,s9XIyE4sBCo
,[Birthday & 5th Anniversary Year Special] Special Session LIVE ~ vol1. Elements Garden ~ [#Sora Elega],2022-05-18,3,t-9Ku0fdnL4
,【 #さくらみこ4周年 】ゲストあり！Baby Dance Live 🎉4th Anniversary 3D LIVE【ホロライブ/さくらみこ】,2022-08-01,3,aelRhCHNP0s
,【#岸堂天真3D】最強の騎士への大きな1歩を踏み出す日【岸堂天真/ホロスターズ】,2021-09-23,3,_TahpWRbMDU
,【#天音かなた3D】天音かなた3Dお披露目！いっぱい見てっ！【#JointhefutureJP】,2020-07-05,3,ZUW6CcY-Yf0
,【#かなわたライブ】1st 3D LIVE！サイリウムの準備はいいか？？【天音かなた＆角巻わため/ホロライブ４期生】,2020-09-05,3,-1iLScVyydk
,【#桐生ココ1周年】踊れドラゴン【#Coco1stAnniversary】,2020-12-28,3,h70bLgQgOTk
,【#天音かなた3DLIVE】僕が主役でもいいですか？【ホロライブ】,2021-01-02,3,8lkam88qeZw
,【#かなたん爆誕】🎉🎉お誕生日 3D LIVE🎉🎉【天音かなた/ホロライブ】,2021-04-22,3,aPHng8urnYY
,卒業。　#桐生ココ卒業LIVE #GoodbyeCoco,2021-07-01,3,IhiievWaZMI
,【#常闇トワ生誕祭2021】ゲストもいっぱい！楽しんじゃお！✨【3DLIVE】,2021-08-08,3,NuOJhtBC7R4
,#マドロミライブ Presented by SQUARE ENIX,2021-09-11,2,gNziHtkliOo
,【#雪花ラミィ生誕ライブ】ゲストいっぱい！誕生日LIVE【雪花ラミィ/ホロライブ】,2021-11-15,3,hEkHj1WZekU
,【#冬でも夏色ライブ】寒い冬に夏色を感じませんか！？【ホロライブ/夏色まつり】,2021-12-11,3,WELdC0CxYFc
